index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 66 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 65 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 83 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 69 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 72 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 8 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 0 MiB, 23034 MiB
2, 0 %, 0 MiB, 23034 MiB
3, 49 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 56 %, 21539 MiB, 23034 MiB
1, 0 %, 3 MiB, 23034 MiB
2, 0 %, 194 MiB, 23034 MiB
3, 20 %, 21539 MiB, 23034 MiB
4, 27 %, 5344 MiB, 23034 MiB
5, 5 %, 21539 MiB, 23034 MiB
0, 25 %, 21539 MiB, 23034 MiB
1, 0 %, 3 MiB, 23034 MiB
2, 0 %, 194 MiB, 23034 MiB
3, 52 %, 21539 MiB, 23034 MiB
4, 0 %, 5344 MiB, 23034 MiB
5, 45 %, 21539 MiB, 23034 MiB
0, 95 %, 21539 MiB, 23034 MiB
1, 0 %, 3 MiB, 23034 MiB
2, 0 %, 194 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 54 %, 21539 MiB, 23034 MiB
1, 0 %, 3 MiB, 23034 MiB
2, 0 %, 194 MiB, 23034 MiB
3, 28 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 3 MiB, 23034 MiB
2, 0 %, 194 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 97 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 2 %, 1214 MiB, 23034 MiB
2, 0 %, 2038 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 78 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 0 %, 15569 MiB, 23034 MiB
2, 0 %, 15569 MiB, 23034 MiB
3, 72 %, 21539 MiB, 23034 MiB
4, 0 %, 5344 MiB, 23034 MiB
5, 99 %, 21539 MiB, 23034 MiB
0, 67 %, 21539 MiB, 23034 MiB
1, 100 %, 20687 MiB, 23034 MiB
2, 100 %, 20687 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 0 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20711 MiB, 23034 MiB
2, 100 %, 20711 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 63 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 17 %, 21539 MiB, 23034 MiB
1, 100 %, 20749 MiB, 23034 MiB
2, 100 %, 20749 MiB, 23034 MiB
3, 80 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 0 %, 21539 MiB, 23034 MiB
0, 78 %, 21539 MiB, 23034 MiB
1, 100 %, 20749 MiB, 23034 MiB
2, 100 %, 20749 MiB, 23034 MiB
3, 77 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 73 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20751 MiB, 23034 MiB
2, 100 %, 20751 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 8 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 95 %, 21539 MiB, 23034 MiB
1, 100 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 87 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 59 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 99 %, 21539 MiB, 23034 MiB
1, 100 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 50 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 14 %, 21539 MiB, 23034 MiB
4, 35 %, 5344 MiB, 23034 MiB
5, 98 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 99 %, 21539 MiB, 23034 MiB
4, 0 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 95 %, 21539 MiB, 23034 MiB
1, 100 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 77 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 86 %, 20879 MiB, 23034 MiB
2, 100 %, 20881 MiB, 23034 MiB
3, 87 %, 21539 MiB, 23034 MiB
4, 77 %, 5344 MiB, 23034 MiB
5, 72 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20881 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 48 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 90 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20883 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 71 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 21 %, 21539 MiB, 23034 MiB
1, 100 %, 20883 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 71 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 99 %, 20883 MiB, 23034 MiB
2, 99 %, 20883 MiB, 23034 MiB
3, 99 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 80 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 20883 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 62 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 68 %, 21539 MiB, 23034 MiB
0, 99 %, 21539 MiB, 23034 MiB
1, 100 %, 20883 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 47 %, 21539 MiB, 23034 MiB
1, 100 %, 20883 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 65 %, 21539 MiB, 23034 MiB
1, 100 %, 20883 MiB, 23034 MiB
2, 100 %, 20883 MiB, 23034 MiB
3, 87 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 28 %, 21539 MiB, 23034 MiB
1, 100 %, 17003 MiB, 23034 MiB
2, 100 %, 17125 MiB, 23034 MiB
3, 99 %, 21539 MiB, 23034 MiB
4, 0 %, 5344 MiB, 23034 MiB
5, 53 %, 21539 MiB, 23034 MiB
0, 73 %, 21539 MiB, 23034 MiB
1, 100 %, 17341 MiB, 23034 MiB
2, 100 %, 17449 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 4 %, 5344 MiB, 23034 MiB
5, 0 %, 21539 MiB, 23034 MiB
0, 75 %, 21539 MiB, 23034 MiB
1, 100 %, 17377 MiB, 23034 MiB
2, 99 %, 17477 MiB, 23034 MiB
3, 99 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 69 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 17457 MiB, 23034 MiB
2, 100 %, 17477 MiB, 23034 MiB
3, 74 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 99 %, 17457 MiB, 23034 MiB
2, 100 %, 17477 MiB, 23034 MiB
3, 31 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 100 %, 21539 MiB, 23034 MiB
0, 100 %, 21539 MiB, 23034 MiB
1, 100 %, 17637 MiB, 23034 MiB
2, 100 %, 17503 MiB, 23034 MiB
3, 100 %, 21539 MiB, 23034 MiB
4, 100 %, 5344 MiB, 23034 MiB
5, 90 %, 21539 MiB, 23034 MiB
0, 31 %, 21539 MiB, 23034 MiB
1, 98 %, 17663 MiB, 23034 MiB
2, 0 %, 17503 MiB, 23034 MiB
